iter	Passed	Remaining
0	124	620015
1	262	655483
2	427	712410
3	560	699875
4	669	668915
5	785	653580
6	929	662923
7	1048	654419
8	1162	644765
9	1272	634930
10	1389	630177
11	1506	626030
12	1617	620673
13	1724	614111
14	1826	607086
15	1931	601719
16	2042	598773
17	2153	596176
18	2270	595269
19	2390	595354
20	2507	594438
21	2630	595197
22	2749	594983
23	2868	594704
24	2983	593710
25	3100	593158
26	3242	597139
27	3359	596515
28	3476	595940
29	3587	594319
30	3701	593282
31	3804	590604
32	3907	588190
33	4022	587494
34	4137	586936
35	4253	586472
36	4363	585318
37	4477	584615
38	4592	584239
39	4711	584261
40	4823	583383
41	4932	582219
42	5053	582562
43	5165	581773
44	5276	581039
45	5393	580891
46	5511	580856
47	5632	581046
48	5744	580446
49	5853	579470
50	5958	578186
51	6069	577579
52	6186	577489
53	6303	577329
54	6423	577504
55	6536	577093
56	6651	576814
57	6763	576307
58	6878	576019
59	6997	576161
60	7117	576280
61	7235	576299
62	7346	575737
63	7464	575713
64	7585	575900
65	7694	575242
66	7799	574238
67	7902	573174
68	8010	572448
69	8121	572015
70	8235	571707
71	8345	571230
72	8461	571060
73	8576	570904
74	8690	570663
75	8801	570271
76	8917	570139
77	9027	569632
78	9142	569490
79	9252	569046
80	9361	568525
81	9482	568719
82	9599	568671
83	9709	568219
84	9816	567609
85	9923	567002
86	10034	566672
87	10145	566304
88	10264	566376
89	10379	566245
90	10491	565986
91	10601	565589
92	10714	565309
93	10826	565039
94	10944	565074
95	11055	564748
96	11176	564917
97	11298	565133
98	11418	565290
99	11530	564986
100	11639	564552
101	11740	563760
102	11853	563543
103	11964	563265
104	12079	563115
105	12198	563183
106	12316	563203
107	12437	563376
108	12548	563080
109	12666	563087
110	12777	562784
111	12890	562569
112	13006	562520
113	13124	562521
114	13243	562560
115	13365	562736
116	13485	562815
117	13604	562876
118	13717	562635
119	13818	561936
120	13922	561375
121	14041	561432
122	14159	561439
123	14272	561236
124	14387	561117
125	14504	561069
126	14621	561020
127	14734	560837
128	14865	561317
129	14979	561161
130	15098	561193
131	15215	561131
132	15335	561187
133	15458	561351
134	15574	561264
135	15683	560909
136	15783	560266
137	15887	559760
138	15997	559463
139	16106	559132
140	16226	559167
141	16337	558923
142	16459	559057
143	16572	558869
144	16689	558811
145	16803	558645
146	16911	558321
147	17021	558037
148	17137	557948
149	17266	558293
150	17393	558541
151	17530	559136
152	17652	559221
153	17764	558991
154	17883	559007
155	18011	559286
156	18144	559703
157	18276	560107
158	18407	560449
159	18547	561068
160	18678	561397
161	18817	561974
162	18935	561914
163	19072	562403
164	19215	563078
165	19385	564513
166	19537	565430
167	19668	565690
168	19773	565235
169	19890	565135
170	20032	565719
171	20193	566829
172	20381	568672
173	20512	568925
174	20654	569467
175	20811	570426
176	20967	571336
177	21115	572016
178	21253	572419
179	21419	573555
180	21576	574461
181	21687	574129
182	21801	573876
183	21921	573760
184	22049	573878
185	22219	575080
186	22380	576019
187	22540	576949
188	22692	577640
189	22856	578620
190	23009	579323
191	23133	579289
192	23247	579021
193	23428	580398
194	23620	582029
195	23796	583269
196	23921	583228
197	24081	584040
198	24265	585417
199	24394	585478
200	24538	585874
201	24731	587445
202	24904	588499
203	25042	588735
204	25162	588553
205	25291	588577
206	25453	589364
207	25629	590463
208	25753	590369
209	25873	590158
210	25988	589859
211	26125	590039
212	26289	590825
213	26425	590999
214	26592	591837
215	26745	592373
216	26864	592125
217	26982	591884
218	27102	591665
219	27216	591347
220	27342	591256
221	27459	590992
222	27577	590756
223	27705	590710
224	27827	590551
225	27951	590441
226	28069	590209
227	28191	590034
228	28309	589806
229	28436	589742
230	28555	589519
231	28675	589321
232	28789	589008
233	28907	588784
234	29025	588528
